weight,img,1st
0.41,784,6272
0.41,0,0
0.510532,215,1423
0.5270905,125,2974
0.53197217,126,2975
0.5120954,427,3041
0.5343128,428,3042
0.5154787,430,3043
0.5075446,454,3055
0.56093854,213,3186
0.59209067,214,3187
0.5720534,243,3201
0.58205074,494,3257
0.528268,552,3272
0.52541643,209,3380
0.5339954,210,3381
0.61419487,213,3382
0.6584901,215,3383
0.528574,241,3396
0.6995364,242,3397
0.5124108,439,3439
0.51853037,512,3462
0.5084748,547,3465
0.5310423,548,3466
0.50762373,594,3475
0.5260054,597,3476
0.52677035,599,3477
0.5170172,573,3478
0.50005096,580,3482
0.5006821,127,3955
0.58247894,157,3956
0.50199896,158,3957
0.50861686,429,4022
0.517426,430,4023
0.5001346,455,4035
0.5098834,494,4041
0.52301735,571,4653
0.53574294,572,4654
0.6897025,152,4934
0.7239561,127,4935
0.7478997,128,4936
0.6830258,158,4937
0.6334238,160,4938
0.6273822,180,4948
0.50484794,182,4949
0.53574955,184,4950
0.54952127,187,4951
0.609019,189,4952
0.5028129,218,4953
0.52253586,271,4965
0.7132224,272,4966
0.7910674,327,4979
0.76693493,300,4980
0.5580767,381,4992
0.7858111,355,4993
0.6192057,356,4994
0.5889185,427,5001
0.69050956,429,5002
0.7717047,431,5003
0.7552406,432,5004
0.7698018,435,5005
0.96597904,437,5006
0.9275828,438,5007
0.59879786,440,5008
0.60101604,481,5014
0.9822777,483,5015
0.9632704,484,5016
0.9087093,459,5017
0.90991783,461,5018
0.9082025,463,5019
1.0,465,5020
0.8537672,466,5021
0.6464342,496,5022
0.65645146,498,5023
0.67882836,509,5028
0.9209464,510,5029
0.88297486,512,5030
0.8166665,515,5031
0.7576342,516,5032
0.6479179,518,5033
0.50082266,520,5034
0.53334266,525,5036
