weight,2nd,fc
0.46,3136,1024
0.46,0,0
0.74734515,2009,69
0.74734515,2010,69
0.74734515,2011,69
0.74734515,2012,69
0.74734515,2013,69
0.74734515,2014,69
0.74734515,2015,69
0.74734515,2016,69
0.74734515,2017,69
0.74734515,2018,69
0.74734515,2019,69
0.74734515,2020,69
0.74734515,2021,69
0.74734515,2022,69
0.74734515,2023,69
0.74734515,2024,69
0.74734515,2025,69
0.74734515,2026,69
0.74734515,2027,69
0.74734515,2028,69
0.74734515,2029,69
0.74734515,2030,69
0.74734515,2031,69
0.74734515,2032,69
0.74734515,2033,69
0.74734515,2034,69
0.74734515,2035,69
0.74734515,2036,69
0.74734515,2037,69
0.74734515,2038,69
0.74734515,2039,69
0.74734515,2040,69
0.74734515,2041,69
0.74734515,2042,69
0.74734515,2043,69
0.74734515,2044,69
0.74734515,2045,69
0.74734515,2046,69
0.74734515,2047,69
0.74734515,2048,69
0.74734515,2049,69
0.74734515,2050,69
0.74734515,2051,69
0.74734515,2052,69
0.74734515,2053,69
0.74734515,2054,69
0.74734515,2055,69
0.74734515,2056,69
0.74734515,2057,69
0.780065,2303,159
0.780065,2304,159
0.780065,2305,159
0.780065,2306,159
0.780065,2307,159
0.780065,2308,159
0.780065,2309,159
0.780065,2310,159
0.780065,2311,159
0.780065,2312,159
0.780065,2313,159
0.780065,2314,159
0.780065,2315,159
0.780065,2316,159
0.780065,2317,159
0.780065,2318,159
0.780065,2319,159
0.780065,2320,159
0.780065,2321,159
0.780065,2322,159
0.780065,2323,159
0.780065,2324,159
0.780065,2325,159
0.780065,2326,159
0.780065,2327,159
0.780065,2328,159
0.780065,2329,159
0.780065,2330,159
0.780065,2331,159
0.780065,2332,159
0.780065,2333,159
0.780065,2334,159
0.780065,2335,159
0.780065,2336,159
0.780065,2337,159
0.780065,2338,159
0.780065,2339,159
0.780065,2340,159
0.780065,2341,159
0.780065,2342,159
0.780065,2343,159
0.780065,2344,159
0.780065,2345,159
0.780065,2346,159
0.780065,2347,159
0.780065,2348,159
0.780065,2349,159
0.780065,2350,159
0.780065,2351,159
0.914972,2107,172
0.914972,2108,172
0.914972,2109,172
0.914972,2110,172
0.914972,2111,172
0.914972,2112,172
0.914972,2113,172
0.914972,2114,172
0.914972,2115,172
0.914972,2116,172
0.914972,2117,172
0.914972,2118,172
0.914972,2119,172
0.914972,2120,172
0.914972,2121,172
0.914972,2122,172
0.914972,2123,172
0.914972,2124,172
0.914972,2125,172
0.914972,2126,172
0.914972,2127,172
0.914972,2128,172
0.914972,2129,172
0.914972,2130,172
0.914972,2131,172
0.914972,2132,172
0.914972,2133,172
0.914972,2134,172
0.914972,2135,172
0.914972,2136,172
0.914972,2137,172
0.914972,2138,172
0.914972,2139,172
0.914972,2140,172
0.914972,2141,172
0.914972,2142,172
0.914972,2143,172
0.914972,2144,172
0.914972,2145,172
0.914972,2146,172
0.914972,2147,172
0.914972,2148,172
0.914972,2149,172
0.914972,2150,172
0.914972,2151,172
0.914972,2152,172
0.914972,2153,172
0.914972,2154,172
0.914972,2155,172
